wavenumber,E1,E2,E3,E4,E5,E6,E7,E8,M2E2,
3925.395,0.01170854,0.019021,0.013637,0.0083738,0.0095631,0.0093164,0.0089805,0.012529,0.013197,
3924.913,0.0117165,0.019064,0.013644,0.0083809,0.0095903,0.0093259,0.0090015,0.012546,0.013215,
3924.431,0.0117307,0.019099,0.013654,0.0083868,0.0096124,0.0093342,0.0090154,0.012559,0.013233,
3923.949,0.01174735,0.019119,0.013664,0.0083889,0.0096247,0.0093382,0.0090179,0.012564,0.013246,
3923.466,0.01176229,0.01912,0.013668,0.0083864,0.0096255,0.0093365,0.0090084,0.012557,0.013252,
3922.984,0.01177169,0.019107,0.013664,0.0083801,0.0096163,0.0093297,0.0089896,0.01254,0.013249,
3922.502,0.0117738,0.019088,0.013653,0.0083723,0.0096016,0.0093206,0.0089667,0.012517,0.013241,
3922.02,0.01176886,0.01907,0.013637,0.0083651,0.0095864,0.0093129,0.0089459,0.012494,0.01323,
3921.538,0.01175858,0.01906,0.013618,0.0083605,0.009575,0.0093098,0.0089322,0.012475,0.013221,
3921.056,0.01174557,0.019061,0.013602,0.0083592,0.0095697,0.0093134,0.0089282,0.012465,0.013216,
3920.574,0.01173189,0.019072,0.013589,0.0083613,0.0095712,0.0093236,0.0089343,0.012464,0.013215,
3920.092,0.01171916,0.019089,0.01358,0.0083665,0.0095781,0.009339,0.0089484,0.01247,0.013218,
3919.61,0.01170878,0.019107,0.013575,0.008375,0.0095882,0.0093572,0.0089673,0.01248,0.013222,
3919.127,0.01170112,0.019123,0.013573,0.0083869,0.0096003,0.009376,0.0089886,0.012493,0.013226,
3918.645,0.0116971,0.019138,0.013574,0.0084027,0.0096128,0.0093938,0.0090108,0.012507,0.013227,
3918.163,0.01169744,0.019152,0.013579,0.0084218,0.0096254,0.0094097,0.009033,0.01252,0.013226,
3917.681,0.01170272,0.019168,0.013589,0.0084424,0.0096373,0.0094231,0.009054,0.012534,0.013224,
3917.199,0.0117131,0.019184,0.013604,0.0084609,0.0096466,0.0094324,0.0090721,0.012546,0.01322,
3916.717,0.01172716,0.019196,0.013623,0.0084729,0.0096508,0.0094359,0.0090839,0.012556,0.013215,
3916.235,0.01174258,0.019198,0.013643,0.0084744,0.009647,0.0094315,0.0090862,0.01256,0.013207,
3915.753,0.01175667,0.019184,0.013661,0.0084633,0.0096327,0.0094176,0.0090767,0.012556,0.013196,
3915.27,0.01176678,0.019154,0.013673,0.0084401,0.0096079,0.009395,0.0090563,0.012543,0.013181,
3914.788,0.01177182,0.01911,0.013679,0.0084085,0.0095751,0.0093657,0.0090282,0.012522,0.013164,
3914.306,0.01177206,0.01906,0.01368,0.0083734,0.0095387,0.0093335,0.0089982,0.012495,0.013147,
3913.824,0.01176896,0.01901,0.013678,0.0083399,0.0095036,0.0093022,0.0089717,0.012468,0.013133,
3913.342,0.0117642,0.018969,0.013675,0.0083121,0.0094745,0.0092746,0.0089526,0.012445,0.013124,
3912.86,0.01175895,0.018939,0.013673,0.0082923,0.0094543,0.0092524,0.0089419,0.012426,0.013122,
3912.378,0.01175391,0.018921,0.013671,0.0082807,0.009444,0.0092358,0.0089381,0.012414,0.013125,
3911.896,0.01174867,0.018911,0.01367,0.0082765,0.0094421,0.0092239,0.0089372,0.012406,0.013132,
3911.414,0.01174251,0.018905,0.013666,0.0082776,0.0094456,0.0092152,0.0089351,0.012402,0.013139,
3910.931,0.01173516,0.018899,0.013659,0.0082825,0.0094514,0.0092092,0.0089288,0.012399,0.013144,
3910.449,0.01172655,0.018891,0.013648,0.0082897,0.0094569,0.0092056,0.0089174,0.012396,0.013144,
3909.967,0.01171712,0.018884,0.013634,0.0082984,0.0094605,0.0092045,0.0089025,0.012394,0.013139,
3909.485,0.01170748,0.018878,0.013619,0.008308,0.0094624,0.0092062,0.0088868,0.012394,0.013129,
3909.003,0.01169751,0.018877,0.013603,0.0083177,0.0094639,0.0092103,0.0088732,0.012396,0.013115,
3908.521,0.01168665,0.018882,0.013587,0.0083267,0.0094663,0.009216,0.0088643,0.012399,0.0131,
3908.039,0.01167409,0.018893,0.01357,0.0083347,0.0094717,0.0092226,0.0088616,0.012401,0.013084,
3907.557,0.01165874,0.018911,0.013551,0.008342,0.0094822,0.0092299,0.0088665,0.012402,0.013069,
3907.075,0.01164077,0.018937,0.01353,0.0083499,0.0094997,0.0092389,0.0088802,0.012401,0.013057,
3906.592,0.01162134,0.018974,0.013508,0.0083606,0.0095258,0.0092514,0.0089042,0.0124,0.013048,
3906.11,0.01160265,0.019024,0.013487,0.008377,0.0095615,0.0092698,0.0089401,0.012402,0.013045,
3905.628,0.01158758,0.019092,0.013471,0.0084013,0.009606,0.0092952,0.0089882,0.01241,0.013049,
3905.146,0.01157815,0.019175,0.013463,0.0084337,0.0096574,0.0093273,0.0090467,0.012429,0.013061,
3904.664,0.01157523,0.019267,0.013463,0.0084722,0.0097109,0.0093625,0.009111,0.012457,0.013081,
3904.182,0.01157744,0.019359,0.013472,0.0085119,0.0097614,0.0093959,0.0091744,0.012493,0.013106,
3903.7,0.011582,0.019437,0.013485,0.0085469,0.0098031,0.0094224,0.0092292,0.012529,0.013132,
3903.218,0.01158503,0.01949,0.013498,0.0085717,0.009833,0.0094382,0.0092698,0.01256,0.013156,
3902.735,0.01158452,0.019514,0.013508,0.0085836,0.0098507,0.0094433,0.0092942,0.012579,0.013174,
3902.253,0.01157938,0.019512,0.013513,0.0085836,0.0098588,0.0094408,0.009304,0.012586,0.013186,
3901.771,0.01157107,0.019494,0.013514,0.0085752,0.0098614,0.0094352,0.0093035,0.012583,0.013192,
3901.289,0.01156209,0.019471,0.013515,0.0085628,0.0098616,0.0094311,0.0092971,0.012575,0.013194,
3900.807,0.01155583,0.019453,0.013518,0.0085508,0.0098608,0.0094309,0.0092879,0.012568,0.013195,
3900.325,0.01155495,0.019445,0.013525,0.0085412,0.0098574,0.0094347,0.0092763,0.012566,0.013197,
3899.843,0.01156161,0.019443,0.013537,0.0085336,0.009848,0.0094399,0.0092606,0.012571,0.0132,
3899.361,0.01157638,0.019443,0.013553,0.0085259,0.0098286,0.0094427,0.0092381,0.012581,0.013204,
3898.879,0.01159878,0.019433,0.013571,0.0085152,0.0097966,0.0094399,0.0092066,0.012592,0.013207,
3898.396,0.01162665,0.019407,0.013589,0.0084993,0.0097525,0.0094294,0.0091658,0.012598,0.013207,
3897.914,0.01165673,0.01936,0.013604,0.0084782,0.0096998,0.0094116,0.0091178,0.012595,0.013205,
3897.432,0.01168536,0.019294,0.013614,0.0084533,0.0096437,0.0093884,0.0090666,0.012582,0.013199,
3896.95,0.01170867,0.019216,0.01362,0.008428,0.0095899,0.0093628,0.0090171,0.01256,0.013191,
3896.468,0.01172318,0.019135,0.01362,0.0084058,0.0095433,0.0093375,0.008974,0.01253,0.013179,
3895.986,0.01172678,0.019059,0.013614,0.0083891,0.0095062,0.0093146,0.0089409,0.012497,0.013164,
3895.504,0.01171875,0.018996,0.013602,0.0083797,0.0094799,0.009296,0.00892,0.012464,0.013146,
3895.022,0.01170033,0.018951,0.013585,0.0083777,0.0094637,0.0092825,0.008912,0.012434,0.013125,
3894.539,0.01167416,0.018926,0.013565,0.0083823,0.0094569,0.0092746,0.0089166,0.012409,0.013101,
3894.057,0.01164455,0.018922,0.013544,0.0083922,0.0094589,0.0092732,0.0089327,0.012392,0.013075,
3893.575,0.01161603,0.018939,0.013524,0.0084066,0.0094699,0.0092789,0.0089585,0.012385,0.013051,
3893.093,0.01159343,0.018975,0.013511,0.0084247,0.00949,0.0092922,0.0089924,0.012389,0.013033,
3892.611,0.01158108,0.019027,0.013507,0.008446,0.0095189,0.009313,0.009032,0.012405,0.013027,
3892.129,0.01158159,0.01909,0.013517,0.0084689,0.009554,0.0093395,0.0090733,0.012431,0.013037,
3891.647,0.01159551,0.019152,0.01354,0.0084909,0.0095897,0.0093678,0.0091109,0.012464,0.013064,
3891.165,0.01162004,0.019202,0.013572,0.0085074,0.0096178,0.0093923,0.0091374,0.012496,0.013104,
3890.683,0.01164891,0.019225,0.013608,0.0085133,0.0096308,0.0094064,0.009146,0.012517,0.013148,
3890.2,0.01167464,0.019213,0.013636,0.008505,0.0096234,0.0094056,0.0091322,0.012521,0.013186,
3889.718,0.01168917,0.019167,0.013649,0.0084821,0.0095967,0.0093889,0.0090974,0.012502,0.013206,
3889.236,0.01168774,0.019097,0.013641,0.008448,0.0095568,0.0093594,0.0090478,0.012464,0.013204,
3888.754,0.0116696,0.019019,0.013611,0.0084099,0.0095142,0.0093241,0.0089945,0.012415,0.013183,
3888.272,0.01163852,0.018956,0.013566,0.0083769,0.0094805,0.009292,0.0089507,0.012367,0.013149,
3887.79,0.01160153,0.018927,0.013513,0.0083574,0.0094656,0.0092716,0.0089281,0.012333,0.013114,
3887.308,0.01156886,0.018946,0.013464,0.0083589,0.009476,0.0092697,0.0089358,0.012323,0.01309,
