Cluster 1	Cluster 2	Distancia	Elementos fusionados
988.0	1014.0	0.23465963284663569	4.0
547.0	592.0	0.23513908852069113	2.0
327.0	398.0	0.23531379670145672	2.0
757.0	1104.0	0.23536342718410624	8.0
428.0	1150.0	0.23555798040192358	6.0
981.0	1000.0	0.23575573229573007	8.0
507.0	1023.0	0.2362224518134478	3.0
952.0	1036.0	0.23632477114659708	4.0
436.0	466.0	0.23803241688346413	2.0
463.0	464.0	0.23818087908018473	2.0
252.0	1118.0	0.23882502637744527	6.0
376.0	1066.0	0.23897108793519836	4.0
535.0	984.0	0.23907968111043015	3.0
341.0	1064.0	0.23933561908993273	4.0
1050.0	1095.0	0.23935188163166154	4.0
977.0	1021.0	0.23974340160077007	11.0
800.0	888.0	0.23995186453442327	5.0
127.0	856.0	0.24056158658035048	3.0
978.0	1099.0	0.24076457821514413	5.0
737.0	964.0	0.24159337296050173	6.0
858.0	1051.0	0.24182298437489042	6.0
411.0	979.0	0.24338315265999902	3.0
412.0	821.0	0.2439199818720335	4.0
161.0	1185.0	0.2440189326351523	9.0
473.0	596.0	0.24631969145676505	2.0
1120.0	1181.0	0.2482260441115593	5.0
960.0	1058.0	0.24953556711743938	4.0
1043.0	1054.0	0.24985398930463296	5.0
214.0	884.0	0.25070149715731366	3.0
882.0	1065.0	0.2516137361038681	7.0
948.0	1005.0	0.2516241138341583	7.0
976.0	1053.0	0.25250470633529165	7.0
483.0	486.0	0.25289936055567647	2.0
1131.0	1136.0	0.25418090118505493	8.0
36.0	403.0	0.2564456489541458	2.0
798.0	985.0	0.2577135916380742	5.0
851.0	937.0	0.2577498026620573	5.0
357.0	358.0	0.25937905765644276	2.0
422.0	1113.0	0.2594787385408854	4.0
1098.0	1154.0	0.25953514016847906	4.0
397.0	1107.0	0.2595587436640278	3.0
839.0	1184.0	0.2599726573230604	8.0
1191.0	1199.0	0.26006017907989926	10.0
734.0	893.0	0.26066250915291395	4.0
955.0	1145.0	0.2609132694480768	5.0
818.0	1025.0	0.2622756045781736	5.0
505.0	611.0	0.2630491246309831	2.0
504.0	534.0	0.26615065072814265	2.0
474.0	595.0	0.26665935969991705	2.0
1020.0	1111.0	0.26688578067011925	6.0
362.0	1127.0	0.2670943114088255	4.0
468.0	1133.0	0.2685574598211592	3.0
1031.0	1182.0	0.26857800903188705	4.0
1082.0	1092.0	0.26888614838045777	7.0
440.0	1112.0	0.26949097017973805	3.0
1001.0	1083.0	0.26950351356277524	9.0
361.0	1102.0	0.26999225320668796	3.0
963.0	1013.0	0.2709490211012677	4.0
300.0	1125.0	0.2718265341972206	6.0
1032.0	1194.0	0.27195244653710404	6.0
1028.0	1206.0	0.2722697228527528	6.0
780.0	1073.0	0.27319012641079604	7.0
404.0	1178.0	0.2732676765543225	3.0
511.0	512.0	0.27392694239789955	2.0
844.0	1079.0	0.27397994327308	7.0
934.0	1056.0	0.27435338122953923	6.0
1086.0	1233.0	0.27558969505694475	11.0
1093.0	1142.0	0.27875469366123806	4.0
1049.0	1180.0	0.2803771145281429	6.0
924.0	1022.0	0.2814820114726478	6.0
531.0	1213.0	0.2815684295493424	9.0
423.0	1138.0	0.282259057608326	3.0
747.0	1193.0	0.2828764996392394	6.0
954.0	1046.0	0.28301704293534663	4.0
995.0	1060.0	0.28514304591455975	5.0
989.0	1128.0	0.28873902657646067	6.0
815.0	1203.0	0.28940697632712475	11.0
855.0	1034.0	0.28970179652144984	4.0
752.0	1161.0	0.2901514128639615	10.0
523.0	1071.0	0.29044798576812436	3.0
1147.0	1172.0	0.2911518945195176	6.0
452.0	453.0	0.291325749691169	2.0
880.0	1039.0	0.29343808218517087	6.0
1062.0	1162.0	0.2940240966785446	6.0
802.0	1026.0	0.29483615156567955	4.0
1090.0	1132.0	0.29842630255822705	7.0
922.0	1134.0	0.2985499392567288	8.0
571.0	1084.0	0.298933028676168	4.0
1108.0	1158.0	0.2998259379448181	10.0
1068.0	1170.0	0.3006527348194878	12.0
975.0	1227.0	0.3009897178495762	4.0
284.0	1063.0	0.30149589730612675	4.0
593.0	1226.0	0.30242972438082777	3.0
972.0	1197.0	0.3025392205605669	5.0
360.0	1115.0	0.30334699922230995	3.0
1085.0	1196.0	0.30491113354212085	8.0
1195.0	1200.0	0.30894153617644404	17.0
1038.0	1149.0	0.30905225082705684	6.0
1003.0	1101.0	0.3098578022563182	7.0
1030.0	1232.0	0.3101934714189475	6.0
1096.0	1097.0	0.31057223815778023	5.0
1061.0	1089.0	0.31240412612790436	4.0
1160.0	1243.0	0.3125357687799447	4.0
417.0	456.0	0.31270030721959136	2.0
529.0	744.0	0.31417380822696017	3.0
1002.0	1168.0	0.31499552148654386	6.0
500.0	1228.0	0.3155067371611097	3.0
1119.0	1155.0	0.315987182624236	7.0
1052.0	1251.0	0.31805584532608566	5.0
469.0	470.0	0.3219113655371171	2.0
1122.0	1215.0	0.3224474181533024	8.0
1141.0	1235.0	0.32261818437735407	17.0
970.0	1156.0	0.32315691462025115	6.0
1135.0	1148.0	0.3232758464999522	4.0
968.0	1004.0	0.32429311080998285	8.0
1163.0	1254.0	0.32624790647613505	11.0
134.0	942.0	0.3274962919244919	3.0
1121.0	1255.0	0.32783265872405215	11.0
748.0	1220.0	0.3301852484178672	5.0
1218.0	1253.0	0.33232719381240844	8.0
246.0	1230.0	0.33426237202840864	5.0
1144.0	1234.0	0.3368009039071922	7.0
920.0	1016.0	0.3373245611963933	7.0
1110.0	1256.0	0.3376534672754825	15.0
1100.0	1116.0	0.33949547523654183	14.0
524.0	1137.0	0.3405137054435323	3.0
740.0	1198.0	0.3432346325136295	7.0
990.0	1210.0	0.34370566962789345	12.0
1212.0	1293.0	0.34433354317915055	6.0
501.0	556.0	0.34674390405971117	2.0
993.0	1105.0	0.34827419256936837	6.0
1091.0	1221.0	0.3486255787855791	10.0
1077.0	1187.0	0.34926045097258535	8.0
1249.0	1277.0	0.3511650276480116	12.0
1189.0	1231.0	0.3515595665317793	5.0
1188.0	1219.0	0.3516933254159318	6.0
1169.0	1171.0	0.3552460126505109	10.0
455.0	1177.0	0.355847862463243	3.0
477.0	482.0	0.36672950258315234	2.0
1164.0	1179.0	0.371942347843782	9.0
1157.0	1229.0	0.37203635264933416	11.0
1159.0	1281.0	0.3727583208856452	6.0
1130.0	1268.0	0.3742600553944112	13.0
961.0	1055.0	0.3782900469562303	7.0
644.0	1247.0	0.3815622687444884	5.0
1126.0	1183.0	0.3827587259197566	13.0
1190.0	1225.0	0.38443671583283784	11.0
1117.0	1266.0	0.3850808822386863	12.0
1143.0	1238.0	0.3856737173594908	13.0
2.0	1153.0	0.3872763761589379	7.0
1224.0	1248.0	0.3872831699212763	11.0
1165.0	1298.0	0.3876152831992029	7.0
1129.0	1288.0	0.3894493736734739	9.0
1175.0	1310.0	0.3922185754157502	11.0
1123.0	1275.0	0.39237135235258075	12.0
1139.0	1294.0	0.3934846500951744	14.0
1166.0	1290.0	0.39456043012026415	10.0
77.0	1176.0	0.394925790274833	8.0
903.0	1284.0	0.3985695367516067	5.0
1186.0	1280.0	0.4010862952082406	8.0
1208.0	1271.0	0.4030124056453706	7.0
789.0	1257.0	0.40810848412636586	6.0
491.0	1308.0	0.40958281083524134	7.0
1250.0	1265.0	0.41153797430649747	16.0
1069.0	1223.0	0.41210706997440266	9.0
1237.0	1302.0	0.42171310236527265	11.0
