eje_x,aspirin_ftir,aspirin_raman
572,1.0608705945177116e-05,
573,1.148087516823608e-05,
574,1.241916127958114e-05,
575,1.3427721024929002e-05,
576,1.4510923690077984e-05,
577,1.5673356638434893e-05,
578,1.6919830627485235e-05,
579,1.825538486329103e-05,
580,1.9685291750083516e-05,
581,2.1215061290074137e-05,
582,2.2850445086713023e-05,
583,2.4597439902846848e-05,
584,2.646229072353413e-05,
585,2.8451493271718457e-05,
586,3.057179592355386e-05,
587,3.283020096891186e-05,
588,3.523396516155236e-05,
589,3.779059950255686e-05,
590,4.050786820000442e-05,
591,4.339378674746144e-05,
592,4.645661906374489e-05,
593,4.970487363655735e-05,
594,5.314729861308016e-05,
595,5.67928757813708e-05,
596,6.065081338757254e-05,
597,6.473053773541395e-05,
598,6.904168351635112e-05,
599,7.359408282098503e-05,
600,7.83977527850241e-05,
601,8.346288182618973e-05,
602,8.879981443193554e-05,
603,9.441903446184855e-05,
604,0.0001003311469329,
605,0.000106546858261,
606,0.0001130769549363,
607,0.0001199322806177,
608,0.0001271237116356,
609,0.0001346621309005,
610,0.0001425584002212,
611,0.0001508233310436,
612,0.0001594676536301,
613,0.0001685019847054,
614,0.0001779367936067,
615,0.0001877823669801,
616,0.0001980487720804,
617,0.000208745818734,
618,0.0002198830200397,
619,0.000231469551889,
620,0.0002435142113977,
621,0.0002560253743517,
622,0.0002690109517766,
623,0.0002824783457558,
624,0.0002964344046255,
625,0.0003108853776887,
626,0.0003258368695979,
627,0.0003412937945654,
628,0.0003572603305689,
629,0.0003737398737273,
630,0.0003907349930307,
631,0.0004082473856151,
632,0.0004262778327773,
633,0.0004448261569337,
634,0.0004638911797295,
635,0.0004834706815101,
636,0.0005035613623692,
637,0.00052415880499,
638,0.0005452574394983,
639,0.0005668505105443,
640,0.0005889300468324,
641,0.0006114868333111,
642,0.0006345103862377,
643,0.0006579889313233,
644,0.0006819093851597,
645,0.0007062573401238,
646,0.0007310170529438,
647,0.0007561714371069,
648,0.0007817020592712,
649,0.0008075891398388,
650,0.0008338115578289,
651,0.0008603468601785,
652,0.0008871712755822,
