Wavenumber,FTIR__aspirin_ftir,RAMAN__aspirin_raman
524.8832555036691,5.053882632419813e-05,0.0010024770129865594
525.9506337558372,5.520542743852648e-05,0.0009599012512253396
527.0180120080054,6.022581702785668e-05,0.0009174534804040358
528.0853902601734,6.562074841278063e-05,0.0008752796997802311
529.1527685123416,7.14299528191991e-05,0.0008335443220688897
530.2201467645096,7.765247515469096e-05,0.0007923582335417764
531.2875250166778,8.43077176751533e-05,0.0007518388921286237
532.3549032688459,9.141505533011112e-05,0.0007120943981678526
533.422281521014,9.899373395806821e-05,0.0006732232208672672
534.4896597731821,0.00010706276085397704,0.0006353140217064343
535.5570380253503,0.00011564078791758167,0.0005984455715319049
536.6244162775183,0.00012474598767448525,0.0005626867571543141
537.6917945296865,0.00013439592254911503,0.0005280966724181112
538.7591727818545,0.000144607407856951,0.0004947247879903937
539.8265510340227,0.0001553963690775141,0.0004626111935126908
540.8939292861908,0.0001667776940613432,0.00043178690527527534
541.9613075383589,0.00017876508091886224,0.00040227423221334853
543.028685790527,0.00019137088243347772,0.00037408719278177443
544.0960640426952,0.00020460933236733788,0.00034723902353613295
545.1634422948632,0.00021852089369472905,0.00032179229526961686
546.2308205470314,0.0002330788580669452,0.000297666678736456
547.2981987991994,0.0002482882674522031,0.0002748470529160995
548.3655770513676,0.0002641519933290718,0.0002533127038046373
549.4329553035357,0.0002806705839346815,0.00023303789068685637
550.5003335557038,0.00029784211665242496,0.000213992411692694
551.5677118078719,0.00031566205697972614,0.0001961421629629729
552.63509006004,0.00033412312554970396,0.00017944968626712267
553.7024683122081,0.00035321517469785225,0.00016387470046106924
554.7698465643763,0.0003729250760704889,0.00014937461273727183
555.8372248165443,0.0003932366207612957,0.00013590500619055745
556.9046030687125,0.0004141304334364054,0.00012342010079386268
557.9719813208806,0.0004355839018689019,0.00011187318543832187
559.0393595730487,0.00045757112324445526,0.00010121701923778742
560.1067378252168,0.00048006563665995263,9.140887274494182e-05
561.174116077385,0.0005030548101418161,8.24360391893179e-05
562.241494329553,0.0005264756495084123,7.420747195742478e-05
563.3088725817212,0.0005502884153857104,6.667733154287788e-05
564.3762508338892,0.0005744501165996514,5.9800806793835065e-05
565.4436290860574,0.0005989145859620296,5.3534313483523034e-05
566.5110073382255,0.0006236325794607763,4.783566253907532e-05
567.5783855903936,0.000648551899122696,4.266419933098259e-05
568.6457638425617,0.0006736175396209444,3.798091561804797e-05
569.7131420947298,0.0006987718584964727,3.374853589438089e-05
570.7805203468979,0.0007239547696532933,2.9931579997803615e-05
571.8478985990661,0.0007491039595718523,2.6496403915345322e-05
572.9152768512341,0.0007741551254676838,2.341122076415224e-05
573.9826551034023,0.00079904223440499,2.064610393802646e-05
575.0500333555703,0.000823697802158856,1.8172974394245037e-05
576.1174116077385,0.0008480507748169774,1.5967128201892646e-05
577.1847898599066,0.0008720102252917221,1.4013711834019161e-05
578.2521681120747,0.0008955222272020212,1.2276472719992053e-05
579.3195463642428,0.000918516651437951,1.073459832363638e-05
580.386924616411,0.0009409236238432432,9.368873440841783e-06
581.454302868579,0.0009626738874534612,8.161609309839073e-06
582.5216811207472,0.0009836991699898447,7.0965689603556946e-06
583.5890593729152,0.0010039325540171936,6.158890009574172e-06
584.6564376250834,0.0010233088470907236,5.335005989976223e-06
585.7238158772515,0.001041764949159402,4.612567172713624e-06
586.7911941294196,0.0010592402144611519,3.980361731672219e-06
587.8585723815877,0.0010756768051386155,3.4282379792787775e-06
588.9259506337559,0.0010910200338253104,2.947028296391319e-06
589.9933288859239,0.0011052186925003464,2.5284752762237638e-06
591.0607071380921,0.0011182253649848193,2.165160506820006e-06
592.1280853902601,0.0011299877069584942,1.850735526136443e-06
593.1954636424283,0.0011404075331935277,1.5808253528165184e-06
594.2628418945964,0.0011495154467531645,1.3477455430850118e-06
595.3302201467645,0.0011572827060132792,1.1468681131524499e-06
596.3975983989326,0.0011636856281206733,9.740865325193288e-07
597.4649766511008,0.0011687057483512197,8.257657152916814e-07
